"GSE","GSM","age","sex"
"GSE56033","GSM1351012",20,"F"
"GSE56033","GSM1351013",19,"F"
"GSE56033","GSM1351014",23,"F"
"GSE56033","GSM1351015",43,"M"
"GSE56033","GSM1351016",18,"F"
"GSE56033","GSM1351017",24,"M"
"GSE56033","GSM1351018",24,"M"
"GSE56033","GSM1351019",23,"F"
"GSE56033","GSM1351020",23,"M"
"GSE56033","GSM1351021",19,"M"
"GSE56033","GSM1351022",20,"M"
"GSE56033","GSM1351023",30,"M"
"GSE56033","GSM1351024",28,"F"
"GSE56033","GSM1351025",20,"F"
"GSE56033","GSM1351026",20,"F"
"GSE56033","GSM1351027",27,"F"
"GSE56033","GSM1351028",19,"M"
"GSE56033","GSM1351029",50,"M"
"GSE56033","GSM1351030",24,"F"
"GSE56033","GSM1351031",22,"F"
"GSE56033","GSM1351032",29,"F"
"GSE56033","GSM1351033",49,"M"
"GSE56033","GSM1351034",36,"M"
"GSE56033","GSM1351035",50,"M"
"GSE56033","GSM1351036",31,"F"
"GSE56033","GSM1351037",25,"F"
"GSE56033","GSM1351038",21,"F"
"GSE56033","GSM1351039",51,"M"
"GSE56033","GSM1351040",23,"F"
"GSE56033","GSM1351041",23,"M"
"GSE56033","GSM1351042",22,"F"
"GSE56033","GSM1351043",24,"M"
"GSE56033","GSM1351044",21,"M"
"GSE56033","GSM1351045",23,"F"
"GSE56033","GSM1351046",21,"M"
"GSE56033","GSM1351047",25,"F"
"GSE56033","GSM1351048",29,"F"
"GSE56033","GSM1351049",49,"M"
"GSE56033","GSM1351050",21,"F"
"GSE56033","GSM1351051",47,"M"
"GSE56033","GSM1351052",46,"M"
"GSE56033","GSM1351053",25,"F"
"GSE56033","GSM1351054",29,"M"
"GSE56033","GSM1351055",21,"F"
"GSE56033","GSM1351056",19,"M"
"GSE56033","GSM1351057",25,"F"
"GSE56033","GSM1351058",23,"F"
"GSE56033","GSM1351059",19,"F"
"GSE56033","GSM1351060",24,"F"
"GSE56033","GSM1351061",24,"M"
"GSE56033","GSM1351062",20,"F"
"GSE56033","GSM1351063",20,"F"
"GSE56033","GSM1351064",30,"M"
"GSE56033","GSM1351065",27,"F"
"GSE56033","GSM1351066",20,"F"
"GSE56033","GSM1351067",23,"M"
"GSE56033","GSM1351068",25,"F"
"GSE56033","GSM1351069",25,"F"
"GSE56033","GSM1351070",46,"F"
"GSE56033","GSM1351071",24,"F"
"GSE56033","GSM1351072",30,"M"
"GSE56033","GSM1351073",36,"M"
"GSE56033","GSM1351074",25,"F"
"GSE56033","GSM1351075",29,"F"
"GSE56033","GSM1351076",32,"M"
"GSE56033","GSM1351077",20,"F"
"GSE56033","GSM1351078",19,"M"
"GSE56033","GSM1351079",19,"M"
"GSE56033","GSM1351080",22,"F"
"GSE56033","GSM1351081",23,"F"
"GSE56033","GSM1351082",23,"F"
"GSE56033","GSM1351083",24,"F"
"GSE56033","GSM1351084",45,"M"
"GSE56033","GSM1351085",22,"F"
"GSE56033","GSM1351086",20,"F"
"GSE56033","GSM1351087",25,"F"
"GSE56033","GSM1351088",37,"M"
"GSE56033","GSM1351089",20,"F"
"GSE56033","GSM1351090",30,"F"
"GSE56033","GSM1351091",23,"F"
"GSE56033","GSM1351092",20,"M"
"GSE56033","GSM1351093",24,"M"
"GSE56033","GSM1351094",20,"F"
"GSE56033","GSM1351095",23,"F"
"GSE56033","GSM1351096",22,"F"
"GSE56033","GSM1351097",23,"M"
"GSE56033","GSM1351098",24,"M"
"GSE56033","GSM1351099",26,"M"
"GSE56033","GSM1351100",26,"M"
